Book ID,Title,Subtitle,Author,Publisher,Book Type ID,Note,ISBN,Compiler,Last Update Date,Add Date
703,공부 9단 오기 10단,17살의 승부사 박원희,박원희,김영사,10,NULL,NULL,NULL,2010-02-19 00:00:00.000,2010-02-19 00:00:00.000
704,세상에서 가장 좋은 부모되기,부모가 주도권을 잃지 않고 자녀를 양육하는 법,케빈 르먼,두란노서원,10,NULL,NULL,NULL,2010-02-19 00:00:00.000,2010-02-19 00:00:00.000
705,삶을 변화시키는 하나님의 불,하나님을 알고 그분을 경험하는 삶으로의 초대,조이 도우슨,예수전도단,9,"
",NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
706,한국 교회는 이 민족을 책임질 수 있는가,NULL,홍정길,두란노서원,9,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
707,내 잔이 넘치나이다,정연희 전작장편소설,정연희,믿음의 글들,9,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
708,코끼리 이름짓기,세계관 개념의 역사와 재정의,제임스 사이어,IVP,9,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
710,성경속의 생활풍속 따라잡기,구약편,"김일우, 이세구",아가페,9,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
711,선택,NULL,스펜서존슨,청림,9,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
712,말씀 심는 엄마,태교부터 열 살까지 성경암송과 가정예배로 하늘 자녀 키우기,백은실,규장,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
713,메모의 기술,머리보다 손이 먼저 움직이는,"사카토 켄지, 고은진",해바라기,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
714,싱크빅,벤카슨의,벤카슨,솔라피데,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
715,삶으로 가르치는 것만 남는다,김요셉 목사의 그림 에세이,김요셉,두란노서원,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
716,성공으로 이끄는 젊은 엄마의 자녀 교육,0세에서 6세까지의 신세대 유아교육,김미경,KBS문화사업단,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
717,나의 자녀 무엇을 먼저 가르칠 것인가,NULL,이유아,한국교육연구원,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
718,내 아들아 사랑으로 세계를 품어라,사랑의 혁명가 황성주 박사가 차세대 주역들에게 던지는 도전적 메세지,황성주,서로사랑,10,NULL,NULL,NULL,2010-02-21 00:00:00.000,2010-02-21 00:00:00.000
